molecule_chembl_id,smiles,scaffold,IC50,std_units,pIC50,alogp,hba,hbd,full_mwt,num_ro5_violations,psa,heavy_atoms,document_chembl_id
CHEMBL551174,O[C@@H]1[C@H](O)[C@@H](CS[C@H]2CCNC2)O[C@H]1n1cnc2c(NCCc3ccc(-c4ccccc4)cc3)ncnc21,c1ccc(-c2ccc(CCNc3ncnc4c3ncn4[C@H]3CC[C@@H](CS[C@H]4CCNC4)O3)cc2)cc1,15000.0,nM,4.823908740944319,2.86,10,4,532.67,1,117.35,38,CHEMBL1151876
CHEMBL563938,NCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,c1ncc2ncn([C@H]3CCCO3)c2n1,18000.0,nM,4.7447274948966935,-1.28,10,4,326.38,0,145.33,22,CHEMBL1151876
CHEMBL560505,COc1cc(CNc2ncnc3c2ncn3[C@@H]2O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]2O)cc(OC)c1,c1ccc(CNc2ncnc3c2ncn3[C@H]2CCCO2)cc1,18000.0,nM,4.7447274948966935,0.61,13,5,534.60,2,187.10,37,CHEMBL1151871
CHEMBL563782,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSC[C@@H]2CCCN2)[C@@H](O)[C@H]1O,c1ncc2ncn([C@H]3CC[C@@H](CSC[C@@H]4CCCN4)O3)c2n1,19000.0,nM,4.721246399047171,-0.49,10,4,366.45,0,131.34,25,CHEMBL1151876
CHEMBL3414632,CC(=O)NCCc1ccc(O)c(-c2cc3c(c(O)c2O)C(=O)c2cc(O)c(C(=O)O)c(C(=O)O)c2C3=O)c1,O=C1c2ccccc2C(=O)c2cc(-c3ccccc3)ccc21,19000.0,nM,4.721246399047171,2.03,9,7,521.43,2,218.76,38,CHEMBL3414469
CHEMBL3109084,O=C(O)[C@H](Cc1c[nH]c2ccccc12)NSc1ncccc1[N+](=O)[O-],c1ccc(SNCCc2c[nH]c3ccccc23)nc1,20000.0,nM,4.698970004336019,2.76,6,3,358.38,0,121.15,25,CHEMBL3108732
CHEMBL3414631,O=C(O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)C=CC1=O,O=C1C=CC(=O)N1CCc1c[nH]c2ccccc12,20000.0,nM,4.698970004336019,1.09,3,2,284.27,0,90.47,21,CHEMBL3414469
CHEMBL558882,Nc1nc(I)nc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O,c1ncc2ncn([C@H]3CCCO3)c2n1,21000.0,nM,4.6777807052660805,-0.83,11,5,510.31,2,182.63,27,CHEMBL1151871
CHEMBL560306,NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCc4ccncc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O,c1cc(CNc2ncnc3c2ncn3[C@H]2CCCO2)ccn1,22000.0,nM,4.657577319177793,-0.01,12,5,475.53,1,181.53,33,CHEMBL1151871
CHEMBL2063048,O=C1N=C(NCc2ccco2)NCN1,O=C1N=C(NCc2ccco2)NCN1,22000.0,nM,4.657577319177793,0.00,4,3,194.19,0,78.66,14,CHEMBL2062450
CHEMBL563024,NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O,c1ccc(CCNc2ncnc3c2ncn3[C@H]2CCCO2)cc1,27000.0,nM,4.568636235841013,0.64,11,5,488.57,1,168.64,34,CHEMBL1151871
CHEMBL4640870,O=C(CSc1ncnc2sccc12)N1CCN(Cc2cc(=O)n3ccsc3n2)CC1,O=C(CSc1ncnc2sccc12)N1CCN(Cc2cc(=O)n3ccsc3n2)CC1,27200.0,nM,4.565431095965801,2.20,10,0,458.59,0,83.70,30,CHEMBL4602737
CHEMBL3126653,Nc1ccc(NC(=O)c2ccc(Nc3ccnc4ccccc34)cc2)cc1,O=C(Nc1ccccc1)c1ccc(Nc2ccnc3ccccc23)cc1,27900.0,nM,4.554395796726403,4.81,4,3,354.41,0,80.04,27,CHEMBL3124813
CHEMBL4649221,Cc1ccc2c(n1)N(CC(=O)Nc1ccc3c(c1)OCO3)CC(c1nc(-c3cccc(F)c3)no1)C2=O,O=C(CN1CC(c2nc(-c3ccccc3)no2)C(=O)c2cccnc21)Nc1ccc2c(c1)OCO2,28500.0,nM,4.54515513999149,3.73,9,1,501.47,1,119.68,37,CHEMBL4602737
CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,O=c1c(-c2ccccc2)coc2ccccc12,30000.0,nM,4.522878745280337,2.58,5,3,270.24,0,90.90,20,CHEMBL3414469
CHEMBL562689,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSC[C@H]2CCCN2)[C@@H](O)[C@H]1O,c1ncc2ncn([C@H]3CC[C@@H](CSC[C@H]4CCCN4)O3)c2n1,31000.0,nM,4.508638306165727,-0.49,10,4,366.45,0,131.34,25,CHEMBL1151876
CHEMBL3126651,O=C(Nc1ccc(Nc2ccnc3ccccc23)cc1)c1ccc(Nc2ccnc3ccccc23)cc1,O=C(Nc1ccc(Nc2ccnc3ccccc23)cc1)c1ccc(Nc2ccnc3ccccc23)cc1,33000.0,nM,4.481486060122113,7.52,5,3,481.56,1,78.94,37,CHEMBL3124813
CHEMBL3126644,Cc1cc(Nc2ccccc2NC(=O)c2ccc(Nc3ccnc4ccccc34)cc2)nc(N)n1,O=C(Nc1ccccc1Nc1ccncn1)c1ccc(Nc2ccnc3ccccc23)cc1,35000.0,nM,4.455931955649724,5.65,7,4,461.53,1,117.85,35,CHEMBL3124813
CHEMBL538627,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCNC2)[C@@H](O)[C@H]1O,c1ncc2ncn([C@H]3CC[C@@H](CS[C@H]4CCNC4)O3)c2n1,36000.0,nM,4.443697499232713,-0.22,10,4,386.87,0,131.34,25,CHEMBL1151876
CHEMBL3126649,Cc1cc(Nc2cccc(NC(=O)c3ccccc3Nc3ccnc4ccccc34)c2)nc(N)n1,O=C(Nc1cccc(Nc2ccncn2)c1)c1ccccc1Nc1ccnc2ccccc12,38600.0,nM,4.413412695328245,5.65,7,4,461.53,1,117.85,35,CHEMBL3124813
CHEMBL3109085,O=C(O)[C@H](Cc1c[nH]c2ccccc12)NSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],c1ccc(SNCCc2c[nH]c3ccccc23)cc1,40000.0,nM,4.3979400086720375,3.28,7,3,402.39,0,151.40,28,CHEMBL3108732
CHEMBL539449,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSC2CNC2)[C@@H](O)[C@H]1O,c1ncc2ncn([C@H]3CC[C@@H](CSC4CNC4)O3)c2n1,44000.0,nM,4.356547323513812,-1.27,10,4,338.39,0,131.34,23,CHEMBL1151876
CHEMBL551100,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCNC2)[C@@H](O)[C@H]1O,c1ncc2ncn([C@H]3CC[C@@H](CS[C@H]4CCNC4)O3)c2n1,44000.0,nM,4.356547323513812,-0.88,10,4,352.42,0,131.34,24,CHEMBL1151876
CHEMBL563946,Nc1ccnc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O,c1cnc2c(c1)ncn2[C@H]1CCCO1,45000.0,nM,4.346787486224656,-0.83,10,5,383.43,0,169.74,26,CHEMBL1151871
CHEMBL561047,Nc1nccc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O,c1cc2c(cn1)ncn2[C@H]1CCCO1,45000.0,nM,4.346787486224656,-0.83,10,5,383.43,0,169.74,26,CHEMBL1151871
CHEMBL383475,O=C(O)C(Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O,O=C1c2ccccc2C(=O)N1CCc1c[nH]c2ccccc12,50000.0,nM,4.301029995663981,2.46,3,2,334.33,0,90.47,25,CHEMBL1147744
CHEMBL3109076,O=C(O)[C@H]1[C@@H](Cc2c[nH]c3ccccc23)CCN1C(=O)c1ccc2ccccc2c1,O=C(c1ccc2ccccc2c1)N1CC[C@H](Cc2c[nH]c3ccccc23)C1,50000.0,nM,4.301029995663981,4.48,2,2,398.46,0,73.40,30,CHEMBL3108732
