molecule_chembl_id,smiles,scaffold,IC50,std_units,pIC50,alogp,hba,hbd,full_mwt,num_ro5_violations,psa,heavy_atoms,document_chembl_id,framework,scaffold_idx
CHEMBL576260,COc1cc2nc(N(C)C)nc(NC3CCN(C)CC3)c2cc1OC,c1ccc2c(NC3CCNCC3)ncnc2c1,1100.0,nM,5.958607314841775,2.22,7.0,1.0,345.45,0.0,62.75,25.0,CHEMBL1154694,c1ccc2c(NC3CCNCC3)ncnc2c1,1
CHEMBL4203133,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCC1CCN(C)CC1,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCC4CCNCC4)cc3n2)c1,1150.0,nM,5.939302159646388,5.04,7.0,1.0,478.64,1.0,63.0,35.0,CHEMBL4190398,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCC4CCNCC4)cc3n2)c1,48
CHEMBL4092930,COc1cc2c(NC3CCN(C)CC3)nc(N3CCOCC3)nc2cc1C,c1ccc2c(NC3CCNCC3)nc(N3CCOCC3)nc2c1,1150.0,nM,5.939302159646388,2.29,7.0,1.0,371.49,0.0,62.75,27.0,CHEMBL4004823,c1ccc2c(NC3CCNCC3)nc(N3CCOCC3)nc2c1,7
CHEMBL4073147,COc1cc2nc(N(C)C3CCOCC3)nc(NC3CCN(C)CC3)c2cc1OC,c1ccc2c(NC3CCNCC3)nc(NC3CCOCC3)nc2c1,1160.0,nM,5.935542010773082,2.77,8.0,1.0,415.54,0.0,71.98,30.0,CHEMBL4052719,c1ccc2c(NC3CCNCC3)nc(NC3CCOCC3)nc2c1,58
CHEMBL4539095,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1CCC1CCNCC1,c1cc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2cc1CCC1CCNCC1,1190.0,nM,5.924453038607469,3.22,8.0,2.0,495.72,0.0,68.79,36.0,CHEMBL4346750,c1cc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2cc1CCC1CCNCC1,55
CHEMBL4460246,COc1cc2c(NC3CCN(C(C)C)CC3)nc(C3CCCCC3)nc2cc1N1CCN(C)CC1,c1cc2c(NC3CCNCC3)nc(C3CCCCC3)nc2cc1N1CCNCC1,1200.0,nM,5.920818753952375,4.72,7.0,1.0,480.7,0.0,56.76,35.0,CHEMBL4346750,c1cc2c(NC3CCNCC3)nc(C3CCCCC3)nc2cc1N1CCNCC1,42
CHEMBL3335712,Cl[Se]c1ccccc1,c1ccccc1,1200.0,nM,5.920818753952375,,,,191.52,,,,CHEMBL4184305,c1ccccc1,18
CHEMBL4287174,COc1cc2nc(N3CCCCC3)nc(NC3CCN(Cc4ccc(F)cc4)CC3)c2cc1OC,c1ccc(CN2CCC(Nc3nc(N4CCCCC4)nc4ccccc34)CC2)cc1,1214.0,nM,5.915781313260761,4.85,7.0,1.0,479.6,0.0,62.75,35.0,CHEMBL4261502,c1ccc(CN2CCC(Nc3nc(N4CCCCC4)nc4ccccc34)CC2)cc1,4
CHEMBL4458419,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1C1CCCCN1,c1cc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2cc1C1CCCCN1,1220.0,nM,5.913640169325252,3.1,8.0,2.0,467.66,0.0,68.79,34.0,CHEMBL4346750,c1cc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2cc1C1CCCCN1,62
CHEMBL3943729,O=C1c2ccccc2-c2onc3c(N4CCCC4)cc(NCCN4CCCC4)c1c23,O=C1c2ccccc2-c2onc3c(N4CCCC4)cc(NCCN4CCCC4)c1c23,1220.0,nM,5.913640169325252,4.15,6.0,1.0,402.5,0.0,61.61,30.0,CHEMBL3856284,O=C1c2ccccc2-c2onc3c(N4CCCC4)cc(NCCN4CCCC4)c1c23,61
