molecule_chembl_id,smiles,scaffold,IC50,std_units,pIC50,alogp,hba,hbd,full_mwt,num_ro5_violations,psa,heavy_atoms,document_chembl_id
CHEMBL1213766,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCN(C)C,c1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1,110000.0,nM,3.9586073148417746,2.23,9.0,1.0,471.65,0.0,69.23,34.0,CHEMBL1212833
CHEMBL1213830,CNCCCOc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(C)CC3)c2cc1OC,c1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1,120000.0,nM,3.920818753952375,2.27,9.0,2.0,471.65,0.0,78.02,34.0,CHEMBL1212833
CHEMBL1213827,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCCN(C)C,c1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1,140000.0,nM,3.853871964321762,3.01,9.0,1.0,499.70,0.0,69.23,36.0,CHEMBL1212833
CHEMBL3263627,COc1ccc(CC(N)C[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1OC,c1ccc(CCC[C@@H]2CC[C@H](n3cnc4cncnc43)O2)cc1,157000.0,nM,3.804100347590766,0.01,11.0,4.0,430.47,1.0,163.79,31.0,CHEMBL3259565
CHEMBL4074394,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[C@@H](N)CC2CCC2)[C@@H](O)[C@H]1O,c1ncc2ncn([C@H]3CC[C@@H](CCCC4CCC4)O3)c2n1,169000.0,nM,3.772113295386326,-0.06,9.0,4.0,348.41,0.0,145.33,25.0,CHEMBL4043120
CHEMBL3263625,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CCCc2ccccc2)[C@@H](O)[C@H]1O,c1ccc(CCC[C@@H]2CC[C@H](n3cnc4cncnc43)O2)cc1,190000.0,nM,3.721246399047171,1.05,8.0,3.0,355.40,0.0,119.31,26.0,CHEMBL3259565
CHEMBL4089220,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[C@@H](N)CC2CCCC2)[C@@H](O)[C@H]1O,c1ncc2ncn([C@H]3CC[C@@H](CCCC4CCCC4)O3)c2n1,191300.0,nM,3.718285029972704,0.33,9.0,4.0,362.43,0.0,145.33,26.0,CHEMBL4043120
CHEMBL1214015,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCCCN,c1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1,235000.0,nM,3.6289321377282633,2.79,9.0,2.0,485.68,0.0,92.01,35.0,CHEMBL1212833
CHEMBL1214068,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCN(C)CCN(C)C,c1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1,345000.0,nM,3.4621809049267256,2.16,10.0,1.0,528.75,1.0,72.47,38.0,CHEMBL1212833
CHEMBL1214186,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[C@@H](N)CC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,c1ncc2ncn([C@H]3CCCO3)c2n1,509000.0,nM,3.2932822176632417,-2.06,11.0,6.0,381.39,2.0,208.65,27.0,CHEMBL3259565
CHEMBL1213958,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCN1CCOCC1,c1cc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2cc1OCCCN1CCOCC1,880000.0,nM,3.0555173278498318,2.39,10.0,1.0,527.71,1.0,78.46,38.0,CHEMBL1212833
CHEMBL1214630,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(C)C3)c2cc1OC,c1ccc2c(NC3CCNC3)nc(N3CCCNCC3)nc2c1,910000.0,nM,3.040958607678906,1.90,8.0,1.0,400.53,0.0,65.99,29.0,CHEMBL1212833
CHEMBL1214145,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCC1CCCNC1,c1cc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2cc1OCC1CCCNC1,1500000.0,nM,2.8239087409443187,2.66,9.0,2.0,497.69,0.0,78.02,36.0,CHEMBL1212833
CHEMBL1213959,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCC(C)C,c1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1,3400000.0,nM,2.4685210829577446,4.10,8.0,1.0,484.69,0.0,65.99,35.0,CHEMBL1212833
CHEMBL1213829,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCCCCN(C)C,c1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1,15100000.0,nM,1.8210230527068303,3.79,9.0,1.0,527.76,1.0,69.23,38.0,CHEMBL1212833
